url,manufacturer,car_name,body_style_general,body_style,production_start,production_end,production_end_display,car_label,half_decade,decade,length,width,width_incl_mirrors,height,wheelbase,ground_clearance,cargo_volume,cargo_volume_max,weight,segment,price_eu,price_us
https://www.carsized.com/en/cars/acura-tlx-2020-sedan/,Acura,TLX,Sedan,Sedan,2020,,present,Acura TLX (2020-present),2020-2024,2020s,494.3,191.0,,143.3,287.0,13.5,,,1682.0,Premium,,38900.0
https://www.carsized.com/en/cars/acura-zdx-2024-suv/,Acura,ZDX,SUV,SUV,2024,,present,Acura ZDX (2024-present),2020-2024,2020s,502.2,195.6,,163.6,309.4,17.8,,,2459.0,Premium,,64500.0
https://www.carsized.com/en/cars/aiways-u5-2016-suv/,Aiways,U5,SUV,SUV,2019,,present,Aiways U5 (2019-present),2015-2019,2010s,468.0,186.5,210.0,170.0,280.0,14.8,432.0,1555.0,1720.0,Standard,38973.0,
https://www.carsized.com/en/cars/aiways-u6-2021-coupe-suv/,Aiways,U6,SUV,Coupé SUV,2021,,present,Aiways U6 (2021-present),2020-2024,2020s,480.5,188.0,,164.1,280.0,16.5,472.0,1260.0,1790.0,Standard,47588.0,
https://www.carsized.com/en/cars/aixam-city-2007-3-door-hatchback-crossover/,Aixam,City,Crossover,3-door Hatchback Crossover,2007,2020.0,2020,Aixam City (2007-2020),2005-2009,2000s,300.0,150.0,177.5,154.0,200.0,,,1100.0,425.0,Standard,11690.0,
https://www.carsized.com/en/cars/alfa-romeo-147-2005-3-door-hatchback/,Alfa Romeo,147,Hatchback,3-door Hatchback,2005,2006.0,2006,Alfa Romeo 147 (2005-2006),2005-2009,2000s,422.3,172.9,189.5,144.2,254.6,,292.0,1042.0,,Standard,,
https://www.carsized.com/en/cars/alfa-romeo-147-2006-5-door-hatchback/,Alfa Romeo,147,Hatchback,5-door Hatchback,2006,2010.0,2010,Alfa Romeo 147 (2006-2010),2005-2009,2000s,422.3,172.9,189.5,142.1,254.6,,292.0,1042.0,,Premium,,
https://www.carsized.com/en/cars/alfa-romeo-156-2002-sedan/,Alfa Romeo,156,Sedan,Sedan,2002,2007.0,2007,Alfa Romeo 156 (2002-2007),2000-2004,2000s,443.5,174.3,196.5,139.0,259.5,,378.0,,,Premium,,
https://www.carsized.com/en/cars/alfa-romeo-159-2004-estate/,Alfa Romeo,159 Sportwagon,Estate,Estate,2004,2011.0,2011,Alfa Romeo 159 Sportwagon (2004-2011),2000-2004,2000s,466.0,182.8,197.5,141.7,270.0,11.0,445.0,1235.0,,Premium,,
https://www.carsized.com/en/cars/alfa-romeo-159-2004-sedan/,Alfa Romeo,159,Sedan,Sedan,2004,2011.0,2011,Alfa Romeo 159 (2004-2011),2000-2004,2000s,466.0,182.8,197.5,141.7,270.0,11.0,405.0,,1505.0,Premium,24550.0,
https://www.carsized.com/en/cars/alfa-romeo-164-1987-sedan/,Alfa Romeo,164,Sedan,Sedan,1987,1998.0,1998,Alfa Romeo 164 (1987-1998),1985-1989,1980s,456.0,176.0,,139.0,266.0,,504.0,,1375.0,Premium,21766.0,
https://www.carsized.com/en/cars/alfa-romeo-4c-2013-coupe/,Alfa Romeo,4C,Coupé,Coupé,2013,2018.0,2018,Alfa Romeo 4C (2013-2018),2010-2014,2010s,398.9,186.4,,118.3,238.0,,40.0,,970.0,Premium,63500.0,
https://www.carsized.com/en/cars/alfa-romeo-75-1988-sedan/,Alfa Romeo,75,Sedan,Sedan,1988,1992.0,1992,Alfa Romeo 75 (1988-1992),1985-1989,1980s,433.0,163.0,,140.0,251.0,,500.0,,1070.0,Premium,15850.0,
https://www.carsized.com/en/cars/alfa-romeo-alfetta-gtv-1980-fastback/,Alfa Romeo,Alfetta GTV,Hatchback,2-door Fastback,1980,1986.0,1986,Alfa Romeo Alfetta GTV (1980-1986),1980-1984,1980s,426.0,166.4,,133.0,240.0,12.0,370.0,,,Premium,,
https://www.carsized.com/en/cars/alfa-romeo-giulia-1964-sedan-1300/,Alfa Romeo,Giulia,Sedan,Sedan,1964,1972.0,1972,Alfa Romeo Giulia (1964-1972),1960-1964,1960s,411.5,156.0,,143.0,251.0,12.0,480.0,,1000.0,Premium,4320.0,
https://www.carsized.com/en/cars/alfa-romeo-giulia-1971-coupe-2000/,Alfa Romeo,Giulia GT 2000,Coupé,Coupé,1971,1975.0,1975,Alfa Romeo Giulia GT 2000 (1971-1975),1970-1974,1970s,408.0,158.0,,131.5,235.0,14.0,,,,Premium,,
https://www.carsized.com/en/cars/alfa-romeo-giulia-2015-sedan/,Alfa Romeo,Giulia,Sedan,Sedan,2015,2022.0,2022,Alfa Romeo Giulia (2015-2022),2015-2019,2010s,464.3,186.0,202.4,143.8,282.0,,480.0,,1449.0,Premium,33100.0,37995.0
https://www.carsized.com/en/cars/alfa-romeo-giulietta-1959-coupe-ss/,Alfa Romeo,Giulietta Sprint Speciale,Coupé,Coupé,1959,1963.0,1963,Alfa Romeo Giulietta Sprint Speciale (1959-1963),1955-1959,1950s,412.0,166.0,,124.0,225.0,14.0,300.0,,860.0,Premium,,
